session_id,charging_minutes,work_energy_kwh,n_events,gap_energy_kwh,max_duration_min,has_event
2_39_123_23_2019-05-20 15:00:27.039601,66,206.33500416666666,2.0,0.8932716666666667,25.0,True
2_39_123_23_2019-05-21 15:05:11.192556,53,155.92012115384614,1.0,0.4003085416666667,10.0,True
2_39_123_23_2019-05-22 15:57:55.570274,239,788.7839762371615,7.0,3.7842077952847806,86.0,True
2_39_123_23_2019-05-23 17:33:25.610476,93,606.3224713235294,1.0,0.6054378472222223,7.0,True
2_39_123_23_2019-05-24 16:49:45.125888,105,344.9613583333333,3.0,1.5674645833333332,43.0,True
2_39_123_23_2019-05-28 15:14:43.486918,89,281.3940125,1.0,0.4241106250000001,9.0,True
2_39_123_23_2019-05-29 15:56:22.262236,93,296.29241348039216,2.0,1.652594196623094,33.0,True
2_39_123_23_2019-05-30 15:07:18.632138,98,314.10030367647056,1.0,0.3898145833333334,8.0,True
2_39_123_23_2019-05-31 15:02:11.447760,78,245.3756709276018,1.0,0.3524740972222222,8.0,True
2_39_123_23_2019-06-01 16:04:31.442663,31,46.93073946078431,0.0,0.0,0.0,False
2_39_123_23_2019-06-01 16:59:25.852501,65,366.37967156862743,1.0,0.8087129861111112,21.0,True
2_39_123_23_2019-06-03 15:01:05.445367,56,167.46963373015873,1.0,0.36379481481481485,9.0,True
2_39_123_23_2019-06-04 14:58:23.899771,79,242.6631339869281,1.0,0.39321894607843144,9.0,True
2_39_123_23_2019-06-05 15:05:06.249190,72,225.89755850840336,1.0,0.3482210416666666,8.0,True
2_39_123_23_2019-06-06 17:14:57.891791,83,261.3433656045751,3.0,1.624836406590414,29.0,True
2_39_123_23_2019-06-07 16:00:16.784809,63,192.6416458333333,2.0,1.2249983333333332,30.0,True
2_39_123_23_2019-06-10 16:14:17.351393,32,53.01968977272727,0.0,0.0,0.0,False
2_39_123_23_2019-06-11 16:10:56.865408,93,292.57018559577676,3.0,1.8204538697209653,51.0,True
2_39_123_23_2019-06-12 15:48:17.413031,92,294.38135551311433,1.0,0.21803993055555557,5.0,True
2_39_123_23_2019-06-12 21:18:31.374887,57,180.16244183006535,1.0,0.20414208333333334,5.0,True
2_39_123_23_2019-06-13 16:33:25.024542,80,255.16924076797386,2.0,1.551417294389978,29.0,True
2_39_123_23_2019-06-14 15:13:13.808580,119,749.0931797619047,0.0,0.0,0.0,False
2_39_123_23_2019-06-14 20:18:06.825989,28,82.59117480876967,1.0,0.21704405228758172,6.0,True
2_39_123_23_2019-06-17 16:43:25.718678,117,770.8721120098039,0.0,0.0,0.0,False
2_39_123_23_2019-06-18 16:04:48.740161,91,304.96738497899156,3.0,1.7252072508169936,48.0,True
2_39_123_23_2019-06-19 16:31:48.723224,86,272.7732347222222,2.0,1.3167102696078432,26.0,True
2_39_123_23_2019-06-20 17:10:43.168478,44,113.71245336262035,2.0,0.8162107113229908,15.0,True
2_39_123_23_2019-06-21 00:31:39.999302,31,49.80368035714285,0.0,0.0,0.0,False
2_39_123_23_2019-06-21 17:33:29.871501,77,223.63045289694824,1.0,0.5409763294060315,16.0,True
2_39_123_23_2019-06-24 20:22:31.452299,59,190.91066295518206,1.0,0.7803436764705882,32.0,True
2_39_123_23_2019-06-24 22:47:15.513086,112,686.6913822341057,0.0,0.0,0.0,False
2_39_123_23_2019-06-25 01:22:31.669904,30,187.77600479691876,0.0,0.0,0.0,False
