site,station_id,month,field_mode,info_mode,split,cycle_count,session_count
caltech,2-39-130-564,2018-09,measured_no_pilot,M3_current_only,train,7841,27
caltech,2-39-131-30,2018-09,measured_no_pilot,M3_current_only,train,24436,98
caltech,2-39-131-565,2018-09,measured_no_pilot,M3_current_only,train,7103,23
caltech,2-39-138-29,2018-09,measured_no_pilot,M3_current_only,train,22510,88
caltech,2-39-138-566,2018-09,measured_no_pilot,M3_current_only,train,9765,29
caltech,2-39-139-28,2018-09,measured_no_pilot,M3_current_only,train,25682,123
caltech,2-39-139-567,2018-09,measured_no_pilot,M3_current_only,train,5994,21
caltech,2-39-78-360,2018-09,measured_no_pilot,M3_current_only,train,13423,38
caltech,2-39-78-361,2018-09,measured_no_pilot,M3_current_only,train,14112,39
caltech,2-39-78-362,2018-09,measured_no_pilot,M3_current_only,train,12611,36
caltech,2-39-78-363,2018-09,measured_no_pilot,M3_current_only,train,14914,45
caltech,2-39-78-364,2018-09,measured_no_pilot,M3_current_only,train,13709,34
caltech,2-39-78-365,2018-09,measured_no_pilot,M3_current_only,train,21477,65
caltech,2-39-78-366,2018-09,measured_no_pilot,M3_current_only,train,22955,67
caltech,2-39-78-367,2018-09,measured_no_pilot,M3_current_only,train,16348,36
caltech,2-39-79-376,2018-09,measured_no_pilot,M3_current_only,train,15822,32
caltech,2-39-79-377,2018-09,measured_no_pilot,M3_current_only,train,18755,61
caltech,2-39-79-378,2018-09,measured_no_pilot,M3_current_only,train,19299,48
caltech,2-39-79-379,2018-09,measured_no_pilot,M3_current_only,train,29449,53
caltech,2-39-79-380,2018-09,measured_no_pilot,M3_current_only,train,14927,47
caltech,2-39-79-381,2018-09,measured_no_pilot,M3_current_only,train,16128,40
caltech,2-39-79-382,2018-09,measured_no_pilot,M3_current_only,train,12910,30
caltech,2-39-79-383,2018-09,measured_no_pilot,M3_current_only,train,21233,38
caltech,2-39-82-384,2018-09,measured_no_pilot,M3_current_only,train,510,2
